,business_category,label_int
0,3dservices,0
1,abuseaddictiontreatment,1
2,accessories,2
3,accountingbookkeeping,3
4,acting,4
5,active,5
6,acupuncture,6
7,adult,7
8,adultedu,8
9,adultentertainment,9
10,advertisingagencies,10
11,aerospacecompany,11
12,agriculturalservice,12
13,airconditioningservices,13
14,aircraft,14
15,aircraftservicemaintenance,15
16,airductcleaningservice,16
17,airport_shuttles,17
18,airtravel,18
19,alternative_health_products,19
20,alternativemedicine,20
21,amateursportsteams,21
22,americanfootball,22
23,animalcontrolservice,23
24,animalshelters,24
25,antiquescollectiblesstore,25
26,apartmentrentalagencies,26
27,apartments,27
28,apiariesbeekeepers,28
29,appliancestore,29
30,architects,30
31,artcenter,31
32,artists,32
33,arts,33
34,artsandcrafts,34
35,artschools,35
36,artsorganization,36
37,artsupplies,37
38,asphaltcontractor,38
39,assistedlivingcareservices,39
40,auctioneersauctionhouses,40
41,audiovisualconsultant,41
42,audiovisualequipmentrentalservice,42
43,audiovisualproductiondesign,43
44,auto,44
45,auto_detailing,45
46,autoglass,46
47,autopartssupplies,47
48,autorepair,48
49,autorestorationservices,49
50,autoroadservices,50
51,aviationconsultant,51
52,baby_gear,52
53,bailbondsmen,53
54,bakeries,54
55,ballroomdanceinstructor,55
56,band,56
57,banks,57
58,barbers,58
59,bargrill,59
60,bars,60
61,bartenders,61
62,baseball,62
63,basketball,63
64,bathroomremodeling,64
65,bbadvertising,65
66,bbagriculturefood,66
67,bbapparel,67
68,bbautosvehicles,68
69,bbbusinessservices,69
70,bbenergymining,70
71,bbenvironmentalecologicalservices,71
72,bbfoodproducts,72
73,bbfurniturehousewares,73
74,bbhardware,74
75,bbmachinerytools,75
76,bbmanufacturingsupplies,76
77,bbmedicalsupportservices,77
78,bbofficesuppliesequipment,78
79,bbq,79
80,bbsciencetechnology,80
81,bbstoragetransportation,81
82,bbtextiles,82
83,beaches,83
84,beachresort,84
85,beauty_blog,85
86,beautysalon,86
87,beautysvc,87
88,bedbreakfast,88
89,beer_and_wine,89
90,bespoke,90
91,beveragedistributor,91
92,bikerentals,92
93,bikes,93
94,biotechnologycompany,94
95,birthingparentingcenter,95
96,blinds,96
97,blog,97
98,board_games,98
99,boatcharters,99
100,boating,100
101,boatrentalservice,101
102,boatrepair,102
103,boatsmarinas,103
104,boatyachtdealers,104
105,bodyshops,105
106,book,106
107,bookstores,107
108,bootcamps,108
109,bottledwatersupplier,109
110,boutique,110
111,boxing,111
112,boxinggym,112
113,breweries,113
114,bridal,114
115,builders,115
116,buildingcontractor,116
117,buildingrestorationservice,117
118,buildingsupplies,118
119,burgers,119
120,business_conference,120
121,businessbrokers,121
122,businesscenter,122
123,businessconsultants,123
124,businessdevelopmentservice,124
125,businesslawyers,125
126,businessmanagementservices,126
127,businesstobusiness,127
128,businesstradeorganizations,128
129,butcher,129
130,c_and_mh,130
131,cabinetmaker,131
132,cablecompany,132
133,cafes,133
134,campgrounds,134
135,candlestore,135
136,cannabis,136
137,cannabis_clinics,137
138,car_dealers,138
139,cardetailingservice,139
140,careercoachingservice,140
141,careercounseling,141
142,cargofreightservices,142
143,carpenters,143
144,carpet_cleaning,144
145,carracingtrack,145
146,carrental,146
147,carstrucks,147
148,carwash,148
149,casinos,149
150,catering,150
151,celebration,151
152,chambersofcommerce,152
153,charitableorganizations,153
154,chemicalplant,154
155,child_birthday_party,155
